authors_total,commits_default,commits_total,default_branch,default_branch_line,default_branch_names_version,engine,ev_id,first_commit_on,head_sha,last_commit_on,repo_id,schema,v
10,359,360,master,,,godot,0b23021ed5d8,2019-04-29,0ea6cb6056dceeba4b1eeca73bddd9e037e0a7ef,2021-02-23,gdquest-demos/godot-platformer-2d,repo_history,0.1
9,58,58,master,,,godot,0b23021ed5d8,2018-07-17,673dc09d9132588da04f3ede2a194f1be40fafd0,2022-02-13,cis-ash/TEXTREME,repo_history,0.1
1,29,29,master,,,godot,0b23021ed5d8,2020-02-10,87eba5bf8f7796029c39033b107b064e2969bbad,2020-05-15,uheartbeast/youtube-tutorials,repo_history,0.1
36,473,496,master,,,godot,0b23021ed5d8,2019-10-26,fa5fa7685ce56be0bc3e640496f8debf262d0ee2,2023-01-15,loudsmilestudios/TetraForce,repo_history,0.1
20,315,342,develop,,,godot,0b23021ed5d8,2017-12-16,ac72121244200a77b27335810a7a79024cc73d5f,2023-01-29,quentincaffeino/godot-console,repo_history,0.1
8,150,172,main,,,godot,0b23021ed5d8,2020-11-10,cd2e2193fe2c7792efb4c35118ade3ad868538b4,2022-08-22,Arnklit/Waterways,repo_history,0.1
22,162,169,main,,,godot,6b79220010ab,2019-06-16,459293ea8be1c64a88b4307a82c5514401327408,2024-10-17,Shin-NiL/Godot-Android-Admob-Plugin,repo_history,0.1
8,76,106,3.x,3.x,3.x,godot,6b79220010ab,2019-07-22,0db95a4d1757fef832ed32fceb343be613dcfcc3,2024-04-21,lawnjelly/smoothing-addon,repo_history,0.1
1,63,63,main,,,godot,6b79220010ab,2021-03-25,f7f7f6f571935d0a7fb8b2f996d7b5673ce4fc5e,2021-04-16,Bauxitedev/bitmapflow,repo_history,0.1
3,725,857,master,,,godot,6b79220010ab,2019-06-24,6d991b2b16d5a1cf3ed25eabba0bc13ca4beeb8c,2022-10-18,ClarkThyLord/Voxel-Core,repo_history,0.1
1,78,117,master,,,godot,6b79220010ab,2019-07-04,acddee2fcb1cabe6e90129b9aa9cfde182c55137,2020-03-25,hiulit/Godot-3-2D-Destructible-Objects,repo_history,0.1
9,290,298,master,,,godot,6b79220010ab,2021-06-28,ee5c13da1624dac483f097accc07962cbf388ddd,2024-12-26,samsface/godot-steam-api,repo_history,0.1
2,35,85,master,,,godot,6b79220010ab,2020-03-07,eb3fc305e532acfc47d387523c3b8e2997b2316c,2022-01-23,jayaarrgh/BookOfShaders-Godot,repo_history,0.1
11,211,247,main,,,godot,6b79220010ab,2019-05-19,1adb5f38e5868855871645072382fb828c2124ad,2023-12-08,ephread/inkgd,repo_history,0.1
12,94,236,main,,,godot,6b79220010ab,2022-06-14,fb37555994eb42b8abab33d70564b565e62b6c02,2025-05-08,gdquest-demos/godot-3-demos-2022,repo_history,0.1
11,223,228,master,,,godot,6b79220010ab,2019-09-26,6567608db369d098af8b89dd552b53773e1ebe98,2022-06-20,NeoSpark314/godot_oculus_quest_toolkit,repo_history,0.1
1,567,567,master,,,godot,6b79220010ab,2020-03-31,8703a0e9eabc699837c125b31687a7cd536aee32,2021-04-27,awkwardpolygons/cartographer,repo_history,0.1
2,6,6,master,,,godot,6b79220010ab,2020-02-29,8827d6b5842b2dbc448461d75bc8cc54a3b654b1,2021-03-14,OBKF/Godot-Trail-System,repo_history,0.1
1,6,6,main,,,godot,6b79220010ab,2020-12-02,9bb6fe7cc50534e171d2093630f3288773c8c865,2020-12-02,RPicster/Godot-particle-and-vfx-textures,repo_history,0.1
22,966,984,master,,,godot,6b79220010ab,2020-03-30,1e22e0eefe3d7e7dea8f21b695cc55e659ef4ccb,2024-09-17,Libre-TrainSim/Libre-TrainSim,repo_history,0.1
24,214,214,master,,,godot,6b79220010ab,2017-11-12,79d6d359081960d811e988cf95716ba19fad9dac,2020-05-15,GDQuest/godot-power-pitch,repo_history,0.1
8,1297,2136,main,,,godot,6b79220010ab,2020-02-12,d7e20f6fe836a2f00c27d538c6f29f276bd5a265,2026-07-27,getenu/enu,repo_history,0.1
2,305,325,master,,,godot,99f27a7aa280,2018-04-05,2747ac911ef27277157f6b7c85e602c874341ff6,2022-08-17,BraindeadBZH/godot_card_engine,repo_history,0.1
2,34,34,master,,,godot,99f27a7aa280,2020-03-13,2f2b43907b3cc1b787fc0256d108427d40963a69,2020-11-27,SIsilicon/Godot-Volumetrics-Plugin,repo_history,0.1
1,104,106,main,,,godot,99f27a7aa280,2020-10-13,b8ffa47b54511813bef9f1ccdf4d4eeb0756cb03,2022-08-08,Arnklit/ShellFurGodot,repo_history,0.1
1,206,350,master,,,godot,99f27a7aa280,2019-05-31,426b0ea9e0734e717fabcf32a7e397a77d24aa27,2026-02-11,danilw/godot-utils-and-other,repo_history,0.1
6,567,593,main,,,godot,99f27a7aa280,2021-07-22,9bdbf1f4eeb9d256ee7163c7157c341792cc1023,2025-03-09,gilzoide/godot-lua-pluginscript,repo_history,0.1
6,167,167,master,,,godot,99f27a7aa280,2020-04-02,3957c8cbb7ead4df177ecd513d6821770c93c6ec,2022-04-28,heroiclabs/nakama-godot-demo,repo_history,0.1
2,206,209,master,,,godot,99f27a7aa280,2019-01-31,379edf63a93e25dfdbde46139f73a34af185683e,2021-11-22,hiulit/Godot-3-2D-Day-Night-Cycle,repo_history,0.1
28,1399,1431,master,,,godot,99f27a7aa280,2018-09-29,c82bbd11588b0d19f88ff1befacc6e94a1791a64,2022-10-27,wesnoth/haldric,repo_history,0.1
8,370,449,master,,,godot,99f27a7aa280,2021-02-14,87a1189b6693257563fb4b761f8b161322a8deb6,2024-10-12,MikeSchulze/gdUnit3,repo_history,0.1
3,128,128,master,,,godot,99f27a7aa280,2020-08-23,9b02e97c1501585ca731263c2e7cd44907dd8a2b,2022-07-12,gdquest-demos/godot-2d-jrpg-combat,repo_history,0.1
2,5,5,main,,,godot,99f27a7aa280,2021-04-11,758359fe695972d84b8223bfad5436bdff1d5844,2021-07-03,Deep-Fold/PixelSpace,repo_history,0.1
16,1880,1978,main,,,godot,99f27a7aa280,2019-03-07,d0ec950c95ce4fe906cafd46bbb35ae705e6786b,2023-06-11,AlexDarigan/wat,repo_history,0.1
5,39,107,v2.0-new-baker,,,godot,99f27a7aa280,2021-05-09,706e9a5550e77844815c8608879514e702d77e84,2021-06-03,wojtekpil/Godot-Octahedral-Impostors,repo_history,0.1
2,12,12,master,,,godot,99f27a7aa280,2018-08-18,1cf2ffd8cc86242d9641cba1792a4c5c39e1139a,2023-10-03,Bauxitedev/meteorite,repo_history,0.1
8,534,554,master4,,,godot,99f27a7aa280,2021-10-05,ce872d57fbbab01317da2e64cb6dd505bc4a3abd,2026-06-25,HarmonyHoney/ROTA,repo_history,0.1
13,1579,1589,master,,,godot,99f27a7aa280,2016-11-03,3c7156694791b75c02d048bda78c7fd44dc4d1d9,2020-11-13,rakugoteam/Rakugo-archive,repo_history,0.1
2,46,50,master,,,godot,a92cdee694a6,2019-06-26,62052678cb84cc13ca6d54eea37527ad5d446ecb,2020-10-20,hiulit/Godot-3-2D-CRT-Shader,repo_history,0.1
6,39,41,master,,,godot,a92cdee694a6,2016-02-25,54a4d92a7be97d96c98a31129173008200ff7336,2022-09-24,henriquelalves/GodotTIE,repo_history,0.1
3,69,77,master,,,godot,a92cdee694a6,2019-01-21,920439c18ee350eb614b9d530d6d376b1bef43c8,2022-01-25,LittleMouseGames/whiskers,repo_history,0.1
1,40,40,master,,,godot,a92cdee694a6,2020-04-04,6e39479af454f30ac3ab1db0c28a3259e744baf2,2020-04-16,Bozar/GodotRoguelikeTutorial,repo_history,0.1
1,37,37,master,,,godot,a92cdee694a6,2021-07-29,48e8317b192bd058057b17daa11d00f7537f1161,2022-10-04,gtibo/VFX-sketchbook-Godot-3.x,repo_history,0.1
2,11,11,main,,,godot,a92cdee694a6,2021-09-11,e6d0512386294913e655954006e219113ec60933,2021-09-19,Mohammed-Anwar/post-processing-tool-for-godot,repo_history,0.1
2,55,61,main,,,godot,a92cdee694a6,2020-12-09,252413491a2298127ac350059a5cfb84173b41be,2022-11-28,heroiclabs/fishgame-godot,repo_history,0.1
15,256,259,master,,,godot,a92cdee694a6,2017-10-15,e983d79365cf5a59052e6242dba083a467020dee,2022-11-10,GodotVR/godot_openxr_for_godot_3.x,repo_history,0.1
1,22,22,master,,,godot,a92cdee694a6,2020-04-08,ef64d08c444d0f19f8a7ba24561df5871c011917,2025-08-03,Droivox/Godot-Engine-FPS,repo_history,0.1
16,228,346,master,,,godot,a92cdee694a6,2018-08-02,8d51f614df62a97f16e800e6635ea39e7eb1fd62,2020-08-28,utopia-rise/godot-kotlin-native,repo_history,0.1
1,8,17,beta,,,godot,a92cdee694a6,2022-11-15,d60c8d90061b14a55e395132109bb16248e191c4,2022-11-24,jreo03/g-rcp2,repo_history,0.1
2,94,105,master,,,godot,a92cdee694a6,2020-06-22,cf244484daefa2edfc04b260d0f98997773e8485,2020-06-25,CaptainProton42/DynamicWaterDemo,repo_history,0.1
10,129,129,master,,,godot,a92cdee694a6,2019-01-08,aebd540cdaf0b0f73f3f64cdb9fd92fa86a4d8fc,2021-01-27,gdquest-demos/godot-kickstarter-2019,repo_history,0.1
2,7,7,master,,,godot,a92cdee694a6,2019-08-28,2c71cade6308b2cacc6e904ca4206bbe61bba9e2,2020-03-08,Grumoth/godot-character-creator,repo_history,0.1
4,12,12,master,,,godot,a92cdee694a6,2019-07-21,b21ac8ac2cc241951dffda3e275cc9ff54f80211,2020-06-16,EXPWorlds/Godot-Cel-Shader,repo_history,0.1
2,221,221,master,,,godot,a92cdee694a6,2019-12-26,06adb8cb85b692926581c5d061dac63a9ba4823f,2022-05-12,mgschwan/VRWorkout,repo_history,0.1
6,151,152,master,,,godot,992ad7453568,2015-05-12,4cb71424d0c4aacf08471bb35fc0d5fbeb1c37c5,2024-04-24,akien-mga/dynadungeons,repo_history,0.1
5,164,164,master,,,godot,992ad7453568,2020-07-14,9f5677124361e327d6a79b251a49e967f4100c1e,2022-03-26,AnJ95/godot-toolbox-project,repo_history,0.1
3,166,170,master,,,godot,992ad7453568,2019-08-17,6ca38edc75fd24c4cbb81723e78d9ad4efcfe9c3,2022-07-30,nezvers/Godot_Public_Examples,repo_history,0.1
5,22,38,master,,,godot,992ad7453568,2018-12-18,e35902a893724fd25cdab503cd9dcc4e50b4fc35,2021-08-17,binogure-studio/chart-gd,repo_history,0.1
3,21,21,master,,,godot,992ad7453568,2020-02-06,49bb8ea6b30f27d4d71a458fa1254ca7d0506248,2021-02-28,redhoot-dev/Godot-Open-World-Demo,repo_history,0.1
2,8,8,master,,,godot,992ad7453568,2020-05-13,1349b82eaae2734f3d9e4942acb3b2f282e3bceb,2024-09-01,teebarjunk/godot-text_effects,repo_history,0.1
7,352,371,master2,,,godot,992ad7453568,2020-08-22,c9b835c46ac5a98cf2aaaa0ee824378af14ff003,2026-06-25,HarmonyHoney/tiny_crate,repo_history,0.1
12,241,253,main,,,godot,992ad7453568,2021-10-23,91ea7401dfddb7bb12a808d4e31000f1346a4eac,2026-07-29,noidexe/godot-version-manager,repo_history,0.1
8,54,54,master,,,godot,992ad7453568,2019-11-21,7cc60029b4dba5780056ba4079d1ef9c246df575,2021-12-16,cgisca/PGSGP,repo_history,0.1
3,61,61,master,,,godot,992ad7453568,2018-06-01,d28b7ce6881e265ea5dbb2aa6acb06115f7882a2,2019-04-19,romlok/godot-gdhexgrid,repo_history,0.1
13,389,390,master,,,godot,992ad7453568,2019-01-25,46776724aa60af7a08685912f335f0c50d1f33f5,2025-03-14,acedogblast/Project-Uranium-Godot,repo_history,0.1
6,519,530,master,,,godot,992ad7453568,2019-07-27,571d323d18adfcca96b94e50068d5a104750fe67,2023-06-14,Alzter/TuxBuilder,repo_history,0.1
6,227,231,master,,,godot,992ad7453568,2019-10-21,95ad1748af6ce4331ad1d167eb9431db87bb7b98,2024-08-19,ikbencasdoei/godot-voip,repo_history,0.1
2,32,32,master,,,godot,992ad7453568,2020-08-20,41ddfa5aa0df6d36f58ab2d30d5a63ce435bf0f3,2021-04-28,samuelbigos/godot_2d_global_illumination,repo_history,0.1
3,111,111,target-gd3.2,,,godot,992ad7453568,2020-04-17,a800b646e071de73d10e87fbcc07313ceaf6cf6d,2024-08-15,Kehom/GodotAddonPack,repo_history,0.1
20,791,1009,nightly,,,godot,992ad7453568,2022-05-22,c0d6df1123680f0eb1a6d77088c0a618be7f6cc1,2026-06-15,Rhythia/sound-space-plus,repo_history,0.1
2,41,41,master,,,godot,ff0ff0b5bddc,2018-09-11,afb654a4f3871b2f44e0cca6138be3147ee41b1e,2020-08-17,spkingr/Godot-Demos,repo_history,0.1
4,21,21,master,,,godot,ff0ff0b5bddc,2018-04-29,e1b5abca76b761d117776ff4433d03401eed4f2e,2021-09-01,Bauxitedev/godot-motion-blur,repo_history,0.1
5,32,32,master,,,godot,ff0ff0b5bddc,2018-01-18,70b00f08619bf229c8d31f3db2581a4d3ce510dd,2020-05-23,JaccomoLorenz/godot-camera-control,repo_history,0.1
3,40,40,master,,,godot,ff0ff0b5bddc,2019-06-24,79940dbe0c6c1b5762eee702bc30f6d932e70a8f,2021-08-22,Zylann/godot_scatter_plugin,repo_history,0.1
2,51,62,master,,,godot,ff0ff0b5bddc,2020-02-07,ff44c66e3ef24e565aa33ccf1ea3a163db047666,2026-02-19,miskatonicstudio/godot-experiments,repo_history,0.1
2,34,34,master,,,godot,ff0ff0b5bddc,2019-12-09,8cc3f25b7793bd96250c6b2259b7f0aaa9fe3d61,2021-10-12,benc-uk/super-dungeon-delve,repo_history,0.1
2,16,16,main,,,godot,ff0ff0b5bddc,2020-12-07,40023de94033ee649cd5d90033b7b6e003f0b554,2026-05-16,gdquest-demos/godot-2d-tactical-rpg-movement,repo_history,0.1
41,1034,1036,main,,,godot,ff0ff0b5bddc,2020-10-09,69392f63192f0d0c87429bc5dbb40014a8286258,2021-08-12,opensuspect/opensuspect-legacy,repo_history,0.1
5,176,178,master,,,godot,ff0ff0b5bddc,2019-07-31,15b9bf7df43bbfcbf9d93e53cba4e8f8fbcc0a96,2020-12-22,ja-brouil/TBS_GoDot,repo_history,0.1
5,184,185,master,,,godot,ff0ff0b5bddc,2019-01-21,db1dc3568a1ec365f75248087e415a80bdf0e2ba,2021-09-02,heraldofgargos/godot-fmod-integration,repo_history,0.1
8,160,160,main,,,godot,ff0ff0b5bddc,2022-06-20,3fa0dd8a69d0680a9c642883c86e9d5415d663c2,2026-01-18,ninstar/Rich-Presence-U,repo_history,0.1
4,67,67,master,,,godot,ff0ff0b5bddc,2018-05-13,8c76aeb59237ebaf4fa6f2a21b8893c48794ff86,2022-02-01,Bauxitedev/godot-texture-painter,repo_history,0.1
8,47,59,master,,,godot,ff0ff0b5bddc,2015-06-04,76ee5674b568f4c7b35708ca3e217b34a6b58ebe,2025-09-02,empyreanx/godot-state-sync-demo,repo_history,0.1
6,55,59,master,,,godot,ff0ff0b5bddc,2019-11-29,3c963e8ee7d49e331c692970fc28a8c3bee9b39d,2025-03-04,yeslayla/build-godot-action,repo_history,0.1
3,92,93,master,,,godot,ff0ff0b5bddc,2020-07-10,d5bf78c419a02ea3e22c44eba2fb77f2296cbd51,2022-02-20,geegaz/A-Key-s-Path,repo_history,0.1
3,195,232,master,,,godot,ff0ff0b5bddc,2021-12-09,07b36b606a83be12f32cafdf369ec3e8edf5d035,2022-06-05,mayank-prasoon/world-maker,repo_history,0.1
1,12,12,master,,,godot,b3ee52f06d1c,2019-10-22,7a04b002472a05e1e179349328f51c1bb566aea6,2020-11-27,SIsilicon/Godot-God-Rays-Plugin,repo_history,0.1
8,106,106,master,,,godot,b3ee52f06d1c,2020-05-22,bf9fbcee8e72d6b684efb892c85e8b6ed4183bc1,2021-03-07,gdquest-demos/godot-mini-tuts-demos,repo_history,0.1
2,120,120,main,,,godot,b3ee52f06d1c,2022-12-14,afa7aa7389dda1703e8e9fe365902694c35c261d,2023-02-23,Tralexium/Chippy_Avoidance,repo_history,0.1
1,4,4,master,,,godot,b3ee52f06d1c,2020-03-03,af32e55bf99677b79a884c3feaf98796323c5a0b,2020-03-05,Miziziziz/ThineCometh,repo_history,0.1
2,4,23,godot-3.x,3.x,godot-3,godot,b3ee52f06d1c,2022-11-14,1b0bfe95a33ec58cf2576ba7566987ce713123c6,2023-12-14,bitbrain/godot-tutorials,repo_history,0.1
3,29,30,master,,,godot,b3ee52f06d1c,2019-04-15,83a5a838b97b2871b9ed975789fbca21a970f284,2020-12-18,kidscancode/circle_jump,repo_history,0.1
4,60,60,master,,,godot,b3ee52f06d1c,2020-08-25,73dbc74d103f774e4ae1afd164e793ee83b4601e,2021-03-30,gdquest-demos/godot-2d-rhythm,repo_history,0.1
3,91,91,main,,,godot,b3ee52f06d1c,2021-01-04,03f4d1e217b67c4ee3f6b78b8c79022d1f896f65,2022-12-08,AhmedElTabarani/learnGodotArabic,repo_history,0.1
1,2,2,master,,,godot,b3ee52f06d1c,2019-03-16,553af35e6d6f51df7a169888c9367f89bf04424c,2022-09-13,marmitoTH/Godot-Sonic-Physics,repo_history,0.1
1,46,46,main,,,godot,b3ee52f06d1c,2021-04-06,06da0e450cb448db5130e655d4027224efbdd09c,2021-06-08,samdze/godot-launcher,repo_history,0.1
7,243,243,dev,,,godot,b3ee52f06d1c,2021-06-14,3a3fe4e212c4904e8328138f96ba721798b2350b,2022-07-31,Mad-Cookies-Studio/mad-productivity,repo_history,0.1
3,13,13,master,,,godot,b3ee52f06d1c,2020-07-25,b1a73ab9ab91e7cbc28fc8b7a70ef170f976d489,2021-03-14,jonchun/gd-ecs,repo_history,0.1
3,31,36,master,,,godot,b3ee52f06d1c,2021-06-16,1b5db230900ef919cec66d4d3ec0f7fc97c4105d,2024-04-23,DusanFedorcak/mmo,repo_history,0.1
3,85,85,main,,,godot,b3ee52f06d1c,2021-03-12,d750d15bfa9b7a20e49a5cb32c4a23d284e7e36e,2021-10-05,dannygaray60/toziuha-night-oota,repo_history,0.1
1,66,66,main,,,godot,b3ee52f06d1c,2021-09-10,1a68baedba7a2ee0af62f4ae119c8bb70c2d3c51,2022-03-09,SakuyaCN/Godot_TeamGame,repo_history,0.1
1,19,21,master,,,godot,b3ee52f06d1c,2018-03-13,aac9f63195b9dc0af90cf91bf41ce7c10888a917,2022-03-16,BastiaanOlij/vehicle-demo,repo_history,0.1
2,22,42,main,,,godot,00ca97745be6,2021-04-08,f0527ebbf3717398d4a980b63993ad4e04c9580d,2021-06-11,arkeve/Godot-Pokemon,repo_history,0.1
1,44,44,main,,,godot,00ca97745be6,2021-08-30,d119b2d50fdd1092d74adab34a33289cd3ef6223,2024-02-21,Btan2/Q_Move,repo_history,0.1
2,15,15,master,,,godot,00ca97745be6,2021-03-27,b3b549c16c7263f75083cf2857d213d715fa6f88,2021-03-28,samuelbigos/godot_dither_shader,repo_history,0.1
9,522,527,main,,,godot,00ca97745be6,2020-06-13,59f82f6e136bb29a1946f8e0c3389e0489402ba8,2023-02-03,unfa/liblast,repo_history,0.1
2,8,8,main,,,godot,00ca97745be6,2021-08-13,d778a718f7ab3f567301f6ddbbaf42fb573920d7,2022-02-28,KenneyNL/KayKit-Hexagons,repo_history,0.1
5,26,26,master,,,godot,00ca97745be6,2020-04-12,43b530080aa5eb5224d37d94448f8208fb7d42ef,2021-07-21,JaccomoLorenz/Godot-Visual-Shader-Node-Library,repo_history,0.1
3,148,198,master,,,godot,00ca97745be6,2019-06-08,5f4cf92f8e669cb1b252ae67f461ab1df9e63541,2021-03-31,godot-mega-man/Mega-Man-Engine,repo_history,0.1
3,160,162,godot-master,,,godot,00ca97745be6,2018-01-22,b0a265bc8fa7dab7f49487f5a46bdfbf5fd22d4a,2020-05-10,openairlinetycoon/OpenATDeluxe,repo_history,0.1
9,89,89,master,,,godot,00ca97745be6,2020-11-13,e1090f0daa261738331521450f319395134e4366,2023-04-09,levigilbert/godot-LDtk-import,repo_history,0.1
3,263,263,rework_on_gles2,,,godot,00ca97745be6,2021-07-14,5e75699b8e4aaa3a82fb701dc00a5871d4cd5428,2026-08-17,roalyr/GDTLancer-legacy,repo_history,0.1
3,366,366,main,,,godot,00ca97745be6,2022-09-15,4db91ecad6dbcddccd2a96af37688465c704a265,2024-09-15,Haidra-Org/Lucid-Creations,repo_history,0.1
5,63,64,master,,,godot,00ca97745be6,2016-09-17,d8520b018d2230c50e5b9c5a01f44a641cee146a,2020-05-13,arypbatista/godot-swipe-detector,repo_history,0.1
3,10,10,main,,,godot,00ca97745be6,2021-11-22,7c0f15a770f4003fd5696055e62716f14a67b6c9,2021-12-03,uheartbeast/3d-dungeon,repo_history,0.1
3,51,53,main,,,godot,00ca97745be6,2020-12-18,9c88b449e8490f0390ec3468e67741ce9e2c912f,2022-10-21,ACB-prgm/Godot_GamePad,repo_history,0.1
2,9,9,master,,,godot,00ca97745be6,2019-12-18,fd7390c455538922e7506a57974f8c31ac265e8b,2025-01-15,smix8/Godot3DCharacterEditorWardrobe,repo_history,0.1
5,26,27,master,,,godot,00ca97745be6,2020-10-19,9052bc78c6cb41124ec191f029615165c0f75d08,2022-05-26,NeoSpark314/BeepSaber,repo_history,0.1
1,12,12,master,,,godot,899486564155,2020-03-07,85dc685b7e4cf8ab2876c5b8ff7bf585fcccae54,2020-07-07,EXPWorlds/Godot-Dialog-System,repo_history,0.1
2,10,10,master,,,godot,899486564155,2021-12-01,0a7035b9267f53e5574b3c613b822208f64cecf4,2021-12-08,Bauxitedev/bendyworm,repo_history,0.1
2,29,29,main,,,godot,899486564155,2021-09-03,4d527cfbc8bbb8f25bd73bb695c770a8f6332fd5,2022-07-09,QueenChristina/gd_dialog,repo_history,0.1
8,65,66,master,,,godot,899486564155,2020-12-21,dd857d055ba5fbbbedd69bdc57a3a1cf7ed9adc3,2024-01-06,QuadCubedStudios/GoDAW,repo_history,0.1
2,59,153,master,,,godot,899486564155,2021-08-17,3e00f886ec8672628e0240c27f2fb6cd814f3fc5,2021-08-26,ghsoares/ReactGD,repo_history,0.1
1,8,8,master,,,godot,899486564155,2020-11-30,cd20bd5679228bd470c7692346de2e1cdcf7bc5f,2021-02-01,Remruts/Paralunar_GameOff,repo_history,0.1
1,237,237,master,,,godot,899486564155,2018-10-19,5c2b5ba02bada007518f85ca52ab432800152baa,2024-02-17,KoBeWi/The-Soulhunter,repo_history,0.1
5,28,28,master,,,godot,899486564155,2020-05-15,443b21d98e9cf124b3629319275e3b6bfdf2ba9c,2022-01-18,EricEzaM/godot-color-palette,repo_history,0.1
2,135,135,master,,,godot,899486564155,2019-04-15,f4624ad2cbddae0ff32b3f500f97057400485460,2020-09-18,Levrault/godot-2d-action-adventure-platformer-demo,repo_history,0.1
4,91,91,master,,,godot,899486564155,2020-08-21,1bb28381626a7c7ea8a16fc929a20a2aa1510d74,2022-05-24,gdquest-demos/godot-2d-tactical-space-combat,repo_history,0.1
4,124,133,main,,,godot,899486564155,2021-05-08,d0dbaa8fb50ef9348a8910cac2c80e453c99bd0a,2024-10-21,argosopentech/Conquest,repo_history,0.1
5,273,273,master,,,godot,899486564155,2021-11-29,957be98ed969ec614dc9ed751c2cb7ecee2311b2,2022-10-11,kai63001/wildcard-game,repo_history,0.1
4,18,32,master,,,godot,899486564155,2022-06-30,0ed0f1533fdc2eecdb8912f220a63d60cb8a5b89,2023-04-01,Norodix/GodotMirror,repo_history,0.1
2,29,29,main,,,godot,899486564155,2022-06-27,82c2ceb66f3078480e4fb62ef1f6cbf071535e26,2022-08-30,catprisbrey/Third-Person-Controller---Godot-Souls-like,repo_history,0.1
1,109,147,master,,,godot,899486564155,2021-03-16,8ed90d1956ccb8a4104a802683bb15bba63a0a7b,2021-06-10,tayloraswift/godot-swift,repo_history,0.1
4,946,977,master,,,godot,899486564155,2021-03-09,20fc78630e1bdfc9f4e79136e1b302b242533afa,2026-05-06,Novakasa/brickrail,repo_history,0.1
1,1,1,main,,,godot,54e0a883f5b1,2021-06-10,841d76d4a91cf7c345d0c33fe01d5cb06259736f,2021-06-10,Deep-Fold/SpriteGenerator,repo_history,0.1
1,28,29,master,,,godot,54e0a883f5b1,2020-09-13,83fd8009f7564ecf910e78314c59d713b0664422,2020-12-12,awnagel/Godot-Thief-Controller,repo_history,0.1
2,43,43,main,,,godot,54e0a883f5b1,2022-10-22,88ab0c7913b83233f29a150261cbc64f98bd618a,2023-02-24,ozzr/godot_terrain,repo_history,0.1
2,5,5,main,,,godot,54e0a883f5b1,2021-07-09,6c867adbb4678228aeb0b7b8fe5eb3f4eaed4393,2021-12-02,nagidev/bean-of-the-wild,repo_history,0.1
2,29,29,main,,,godot,54e0a883f5b1,2021-05-26,33fbefda240cd685a39f1f579edab6b1a1d9e1ab,2022-03-19,Delta12Studio/Lango_GodotRPG,repo_history,0.1
1,23,23,main,,,godot,54e0a883f5b1,2026-05-10,785548bc7665db074d79112de09d22def4eb63ce,2026-06-02,buresu/godot-syphon,repo_history,0.1
1,5,5,master,,,godot,54e0a883f5b1,2018-08-01,ab9ca98551fcc75a4f92289711d8528f8e0e2772,2018-08-01,xevilmaxx/CustomFPS,repo_history,0.1
2,45,61,main,,,godot,54e0a883f5b1,2021-03-22,36223c77efc87bff3b02159eb66410fe5cc9cab5,2025-01-14,XLIVE99/AutoGrid,repo_history,0.1
2,30,42,main,,,godot,54e0a883f5b1,2022-11-06,f651243c6d34243e9056ea8bb5218301fac93ca8,2026-02-08,HK-SHAO/Godot-RayTracing-Demo,repo_history,0.1
128,2274,2407,main,,,godot,54e0a883f5b1,2020-06-07,fd0fa22c335c72583b89b35699f9fb19dd1b4eae,2026-08-11,dialogic-godot/dialogic,repo_history,0.1
4,140,146,master,,,godot,54e0a883f5b1,2023-01-14,0b7a6da11711e36b505901f95bf16abe4748f241,2023-07-10,chimeraOMORPG/Chimera,repo_history,0.1
