authors_total,boundary_sha,censor_on,commits_total,days_since_old_line_release,dormant_days,duration_days,engine,event,event_on,lag_releases,last_activity_on,latest_stable_at_end,origin_on,origin_rule,repo_id,schema,still_supported,stratum,v
3,,2026-08-26,857,4,1408,1274,godot,0,,7,2022-10-18,4.7.2,2023-03-01,4.0-stable,ClarkThyLord/Voxel-Core,lag_observations,True,addon,0.1
3,,2026-08-26,857,4,1408,1441,godot,0,,8,2022-10-18,4.7.2,2022-09-15,4.0-beta1,ClarkThyLord/Voxel-Core,lag_observations,True,addon,0.1
1,,2026-08-26,117,4,2345,1274,godot,0,,7,2020-03-25,4.7.2,2023-03-01,4.0-stable,hiulit/Godot-3-2D-Destructible-Objects,lag_observations,True,unknown,0.1
1,,2026-08-26,117,4,2345,1441,godot,0,,8,2020-03-25,4.7.2,2022-09-15,4.0-beta1,hiulit/Godot-3-2D-Destructible-Objects,lag_observations,True,unknown,0.1
9,,2026-08-26,298,4,608,1274,godot,0,,7,2024-12-26,4.7.2,2023-03-01,4.0-stable,samsface/godot-steam-api,lag_observations,True,library,0.1
9,,2026-08-26,298,4,608,1441,godot,0,,8,2024-12-26,4.7.2,2022-09-15,4.0-beta1,samsface/godot-steam-api,lag_observations,True,library,0.1
2,,2026-08-26,85,4,1676,1274,godot,0,,7,2022-01-23,4.7.2,2023-03-01,4.0-stable,jayaarrgh/BookOfShaders-Godot,lag_observations,True,unknown,0.1
2,,2026-08-26,85,4,1676,1441,godot,0,,8,2022-01-23,4.7.2,2022-09-15,4.0-beta1,jayaarrgh/BookOfShaders-Godot,lag_observations,True,unknown,0.1
11,,2026-08-26,247,4,992,1274,godot,0,,7,2023-12-08,4.7.2,2023-03-01,4.0-stable,ephread/inkgd,lag_observations,True,addon,0.1
11,,2026-08-26,247,4,992,1441,godot,0,,8,2023-12-08,4.7.2,2022-09-15,4.0-beta1,ephread/inkgd,lag_observations,True,addon,0.1
12,,2026-08-26,236,4,475,1274,godot,0,,7,2025-05-08,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-3-demos-2022,lag_observations,True,learning-material,0.1
12,,2026-08-26,236,4,475,1441,godot,0,,8,2025-05-08,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-3-demos-2022,lag_observations,True,learning-material,0.1
11,,2026-08-26,228,4,1528,1274,godot,0,,7,2022-06-20,4.7.2,2023-03-01,4.0-stable,NeoSpark314/godot_oculus_quest_toolkit,lag_observations,True,tool,0.1
11,,2026-08-26,228,4,1528,1441,godot,0,,8,2022-06-20,4.7.2,2022-09-15,4.0-beta1,NeoSpark314/godot_oculus_quest_toolkit,lag_observations,True,tool,0.1
1,,2026-08-26,567,4,1947,1274,godot,0,,7,2021-04-27,4.7.2,2023-03-01,4.0-stable,awkwardpolygons/cartographer,lag_observations,True,addon,0.1
1,,2026-08-26,567,4,1947,1441,godot,0,,8,2021-04-27,4.7.2,2022-09-15,4.0-beta1,awkwardpolygons/cartographer,lag_observations,True,addon,0.1
2,,2026-08-26,6,4,1991,1274,godot,0,,7,2021-03-14,4.7.2,2023-03-01,4.0-stable,OBKF/Godot-Trail-System,lag_observations,True,addon,0.1
2,,2026-08-26,6,4,1991,1441,godot,0,,8,2021-03-14,4.7.2,2022-09-15,4.0-beta1,OBKF/Godot-Trail-System,lag_observations,True,addon,0.1
1,,2026-08-26,6,4,2093,1274,godot,0,,7,2020-12-02,4.7.2,2023-03-01,4.0-stable,RPicster/Godot-particle-and-vfx-textures,lag_observations,True,unknown,0.1
1,,2026-08-26,6,4,2093,1441,godot,0,,8,2020-12-02,4.7.2,2022-09-15,4.0-beta1,RPicster/Godot-particle-and-vfx-textures,lag_observations,True,unknown,0.1
22,,2026-08-26,984,4,708,1274,godot,0,,7,2024-09-17,4.7.2,2023-03-01,4.0-stable,Libre-TrainSim/Libre-TrainSim,lag_observations,True,game,0.1
22,,2026-08-26,984,4,708,1441,godot,0,,8,2024-09-17,4.7.2,2022-09-15,4.0-beta1,Libre-TrainSim/Libre-TrainSim,lag_observations,True,game,0.1
24,,2026-08-26,214,4,2294,1274,godot,0,,7,2020-05-15,4.7.2,2023-03-01,4.0-stable,GDQuest/godot-power-pitch,lag_observations,True,game,0.1
24,,2026-08-26,214,4,2294,1441,godot,0,,8,2020-05-15,4.7.2,2022-09-15,4.0-beta1,GDQuest/godot-power-pitch,lag_observations,True,game,0.1
8,,2026-08-26,2136,4,30,1274,godot,0,,7,2026-07-27,4.7.2,2023-03-01,4.0-stable,getenu/enu,lag_observations,True,unknown,0.1
8,,2026-08-26,2136,4,30,1441,godot,0,,8,2026-07-27,4.7.2,2022-09-15,4.0-beta1,getenu/enu,lag_observations,True,unknown,0.1
2,,2026-08-26,325,4,1470,1274,godot,0,,7,2022-08-17,4.7.2,2023-03-01,4.0-stable,BraindeadBZH/godot_card_engine,lag_observations,True,addon,0.1
2,,2026-08-26,325,4,1470,1441,godot,0,,8,2022-08-17,4.7.2,2022-09-15,4.0-beta1,BraindeadBZH/godot_card_engine,lag_observations,True,addon,0.1
2,,2026-08-26,34,4,2098,1274,godot,0,,7,2020-11-27,4.7.2,2023-03-01,4.0-stable,SIsilicon/Godot-Volumetrics-Plugin,lag_observations,True,addon,0.1
2,,2026-08-26,34,4,2098,1441,godot,0,,8,2020-11-27,4.7.2,2022-09-15,4.0-beta1,SIsilicon/Godot-Volumetrics-Plugin,lag_observations,True,addon,0.1
1,,2026-08-26,106,4,1479,1274,godot,0,,7,2022-08-08,4.7.2,2023-03-01,4.0-stable,Arnklit/ShellFurGodot,lag_observations,True,addon,0.1
1,,2026-08-26,106,4,1479,1441,godot,0,,8,2022-08-08,4.7.2,2022-09-15,4.0-beta1,Arnklit/ShellFurGodot,lag_observations,True,addon,0.1
1,,2026-08-26,350,4,196,1274,godot,0,,7,2026-02-11,4.7.2,2023-03-01,4.0-stable,danilw/godot-utils-and-other,lag_observations,True,game,0.1
1,,2026-08-26,350,4,196,1441,godot,0,,8,2026-02-11,4.7.2,2022-09-15,4.0-beta1,danilw/godot-utils-and-other,lag_observations,True,game,0.1
6,,2026-08-26,593,4,535,1274,godot,0,,7,2025-03-09,4.7.2,2023-03-01,4.0-stable,gilzoide/godot-lua-pluginscript,lag_observations,True,unknown,0.1
6,,2026-08-26,593,4,535,1441,godot,0,,8,2025-03-09,4.7.2,2022-09-15,4.0-beta1,gilzoide/godot-lua-pluginscript,lag_observations,True,unknown,0.1
6,,2026-08-26,167,4,1581,1274,godot,0,,7,2022-04-28,4.7.2,2023-03-01,4.0-stable,heroiclabs/nakama-godot-demo,lag_observations,True,learning-material,0.1
6,,2026-08-26,167,4,1581,1441,godot,0,,8,2022-04-28,4.7.2,2022-09-15,4.0-beta1,heroiclabs/nakama-godot-demo,lag_observations,True,learning-material,0.1
2,,2026-08-26,209,4,1738,1274,godot,0,,7,2021-11-22,4.7.2,2023-03-01,4.0-stable,hiulit/Godot-3-2D-Day-Night-Cycle,lag_observations,True,unknown,0.1
2,,2026-08-26,209,4,1738,1441,godot,0,,8,2021-11-22,4.7.2,2022-09-15,4.0-beta1,hiulit/Godot-3-2D-Day-Night-Cycle,lag_observations,True,unknown,0.1
28,,2026-08-26,1431,4,1399,1274,godot,0,,7,2022-10-27,4.7.2,2023-03-01,4.0-stable,wesnoth/haldric,lag_observations,True,game,0.1
28,,2026-08-26,1431,4,1399,1441,godot,0,,8,2022-10-27,4.7.2,2022-09-15,4.0-beta1,wesnoth/haldric,lag_observations,True,game,0.1
8,,2026-08-26,449,4,683,1274,godot,0,,7,2024-10-12,4.7.2,2023-03-01,4.0-stable,MikeSchulze/gdUnit3,lag_observations,True,tool,0.1
8,,2026-08-26,449,4,683,1441,godot,0,,8,2024-10-12,4.7.2,2022-09-15,4.0-beta1,MikeSchulze/gdUnit3,lag_observations,True,tool,0.1
3,,2026-08-26,128,4,1506,1274,godot,0,,7,2022-07-12,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-2d-jrpg-combat,lag_observations,True,demo,0.1
3,,2026-08-26,128,4,1506,1441,godot,0,,8,2022-07-12,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-2d-jrpg-combat,lag_observations,True,demo,0.1
2,,2026-08-26,5,4,1880,1274,godot,0,,7,2021-07-03,4.7.2,2023-03-01,4.0-stable,Deep-Fold/PixelSpace,lag_observations,True,game,0.1
2,,2026-08-26,5,4,1880,1441,godot,0,,8,2021-07-03,4.7.2,2022-09-15,4.0-beta1,Deep-Fold/PixelSpace,lag_observations,True,game,0.1
16,,2026-08-26,1978,4,1172,1274,godot,0,,7,2023-06-11,4.7.2,2023-03-01,4.0-stable,AlexDarigan/wat,lag_observations,True,addon,0.1
16,,2026-08-26,1978,4,1172,1441,godot,0,,8,2023-06-11,4.7.2,2022-09-15,4.0-beta1,AlexDarigan/wat,lag_observations,True,addon,0.1
5,,2026-08-26,107,4,1910,1274,godot,0,,7,2021-06-03,4.7.2,2023-03-01,4.0-stable,wojtekpil/Godot-Octahedral-Impostors,lag_observations,True,addon,0.1
5,,2026-08-26,107,4,1910,1441,godot,0,,8,2021-06-03,4.7.2,2022-09-15,4.0-beta1,wojtekpil/Godot-Octahedral-Impostors,lag_observations,True,addon,0.1
2,,2026-08-26,12,4,1058,1058,godot,0,,6,2023-10-03,4.7.2,2023-10-03,4.0-stable,Bauxitedev/meteorite,lag_observations,True,game,0.1
2,,2026-08-26,12,4,1058,1058,godot,0,,6,2023-10-03,4.7.2,2023-10-03,4.0-beta1,Bauxitedev/meteorite,lag_observations,True,game,0.1
8,,2026-08-26,554,4,62,1274,godot,0,,7,2026-06-25,4.7.2,2023-03-01,4.0-stable,HarmonyHoney/ROTA,lag_observations,True,game,0.1
8,,2026-08-26,554,4,62,1441,godot,0,,8,2026-06-25,4.7.2,2022-09-15,4.0-beta1,HarmonyHoney/ROTA,lag_observations,True,game,0.1
13,,2026-08-26,1589,4,2112,1274,godot,0,,7,2020-11-13,4.7.2,2023-03-01,4.0-stable,rakugoteam/Rakugo-archive,lag_observations,True,addon,0.1
13,,2026-08-26,1589,4,2112,1441,godot,0,,8,2020-11-13,4.7.2,2022-09-15,4.0-beta1,rakugoteam/Rakugo-archive,lag_observations,True,addon,0.1
2,,2026-08-26,50,4,2136,1274,godot,0,,7,2020-10-20,4.7.2,2023-03-01,4.0-stable,hiulit/Godot-3-2D-CRT-Shader,lag_observations,True,unknown,0.1
2,,2026-08-26,50,4,2136,1441,godot,0,,8,2020-10-20,4.7.2,2022-09-15,4.0-beta1,hiulit/Godot-3-2D-CRT-Shader,lag_observations,True,unknown,0.1
6,,2026-08-26,41,4,1432,1274,godot,0,,7,2022-09-24,4.7.2,2023-03-01,4.0-stable,henriquelalves/GodotTIE,lag_observations,True,addon,0.1
6,,2026-08-26,41,4,1432,1441,godot,0,,8,2022-09-24,4.7.2,2022-09-15,4.0-beta1,henriquelalves/GodotTIE,lag_observations,True,addon,0.1
3,,2026-08-26,77,4,1674,1274,godot,0,,7,2022-01-25,4.7.2,2023-03-01,4.0-stable,LittleMouseGames/whiskers,lag_observations,True,addon,0.1
3,,2026-08-26,77,4,1674,1441,godot,0,,8,2022-01-25,4.7.2,2022-09-15,4.0-beta1,LittleMouseGames/whiskers,lag_observations,True,addon,0.1
1,,2026-08-26,40,4,2323,1274,godot,0,,7,2020-04-16,4.7.2,2023-03-01,4.0-stable,Bozar/GodotRoguelikeTutorial,lag_observations,True,learning-material,0.1
1,,2026-08-26,40,4,2323,1441,godot,0,,8,2020-04-16,4.7.2,2022-09-15,4.0-beta1,Bozar/GodotRoguelikeTutorial,lag_observations,True,learning-material,0.1
1,,2026-08-26,37,4,1422,1274,godot,0,,7,2022-10-04,4.7.2,2023-03-01,4.0-stable,gtibo/VFX-sketchbook-Godot-3.x,lag_observations,True,game,0.1
1,,2026-08-26,37,4,1422,1441,godot,0,,8,2022-10-04,4.7.2,2022-09-15,4.0-beta1,gtibo/VFX-sketchbook-Godot-3.x,lag_observations,True,game,0.1
2,,2026-08-26,11,4,1802,1274,godot,0,,7,2021-09-19,4.7.2,2023-03-01,4.0-stable,Mohammed-Anwar/post-processing-tool-for-godot,lag_observations,True,tool,0.1
2,,2026-08-26,11,4,1802,1441,godot,0,,8,2021-09-19,4.7.2,2022-09-15,4.0-beta1,Mohammed-Anwar/post-processing-tool-for-godot,lag_observations,True,tool,0.1
2,,2026-08-26,61,4,1367,1274,godot,0,,7,2022-11-28,4.7.2,2023-03-01,4.0-stable,heroiclabs/fishgame-godot,lag_observations,True,game,0.1
2,,2026-08-26,61,4,1367,1441,godot,0,,8,2022-11-28,4.7.2,2022-09-15,4.0-beta1,heroiclabs/fishgame-godot,lag_observations,True,game,0.1
15,,2026-08-26,259,4,1385,1274,godot,0,,7,2022-11-10,4.7.2,2023-03-01,4.0-stable,GodotVR/godot_openxr_for_godot_3.x,lag_observations,True,addon,0.1
15,,2026-08-26,259,4,1385,1441,godot,0,,8,2022-11-10,4.7.2,2022-09-15,4.0-beta1,GodotVR/godot_openxr_for_godot_3.x,lag_observations,True,addon,0.1
1,,2026-08-26,22,4,388,1274,godot,0,,7,2025-08-03,4.7.2,2023-03-01,4.0-stable,Droivox/Godot-Engine-FPS,lag_observations,True,game,0.1
1,,2026-08-26,22,4,388,1441,godot,0,,8,2025-08-03,4.7.2,2022-09-15,4.0-beta1,Droivox/Godot-Engine-FPS,lag_observations,True,game,0.1
16,,2026-08-26,346,4,2189,1274,godot,0,,7,2020-08-28,4.7.2,2023-03-01,4.0-stable,utopia-rise/godot-kotlin-native,lag_observations,True,library,0.1
16,,2026-08-26,346,4,2189,1441,godot,0,,8,2020-08-28,4.7.2,2022-09-15,4.0-beta1,utopia-rise/godot-kotlin-native,lag_observations,True,library,0.1
1,,2026-08-26,17,4,1371,1274,godot,0,,7,2022-11-24,4.7.2,2023-03-01,4.0-stable,jreo03/g-rcp2,lag_observations,True,game,0.1
1,,2026-08-26,17,4,1371,1381,godot,0,,8,2022-11-24,4.7.2,2022-11-14,4.0-beta1,jreo03/g-rcp2,lag_observations,True,game,0.1
2,,2026-08-26,105,4,2253,1274,godot,0,,7,2020-06-25,4.7.2,2023-03-01,4.0-stable,CaptainProton42/DynamicWaterDemo,lag_observations,True,game,0.1
2,,2026-08-26,105,4,2253,1441,godot,0,,8,2020-06-25,4.7.2,2022-09-15,4.0-beta1,CaptainProton42/DynamicWaterDemo,lag_observations,True,game,0.1
10,,2026-08-26,129,4,2037,1274,godot,0,,7,2021-01-27,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-kickstarter-2019,lag_observations,True,learning-material,0.1
10,,2026-08-26,129,4,2037,1441,godot,0,,8,2021-01-27,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-kickstarter-2019,lag_observations,True,learning-material,0.1
2,,2026-08-26,7,4,2362,1274,godot,0,,7,2020-03-08,4.7.2,2023-03-01,4.0-stable,Grumoth/godot-character-creator,lag_observations,True,game,0.1
2,,2026-08-26,7,4,2362,1441,godot,0,,8,2020-03-08,4.7.2,2022-09-15,4.0-beta1,Grumoth/godot-character-creator,lag_observations,True,game,0.1
4,,2026-08-26,12,4,2262,1274,godot,0,,7,2020-06-16,4.7.2,2023-03-01,4.0-stable,EXPWorlds/Godot-Cel-Shader,lag_observations,True,unknown,0.1
4,,2026-08-26,12,4,2262,1441,godot,0,,8,2020-06-16,4.7.2,2022-09-15,4.0-beta1,EXPWorlds/Godot-Cel-Shader,lag_observations,True,unknown,0.1
2,,2026-08-26,221,4,1567,1274,godot,0,,7,2022-05-12,4.7.2,2023-03-01,4.0-stable,mgschwan/VRWorkout,lag_observations,True,game,0.1
2,,2026-08-26,221,4,1567,1441,godot,0,,8,2022-05-12,4.7.2,2022-09-15,4.0-beta1,mgschwan/VRWorkout,lag_observations,True,game,0.1
6,,2026-08-26,152,4,854,1274,godot,0,,7,2024-04-24,4.7.2,2023-03-01,4.0-stable,akien-mga/dynadungeons,lag_observations,True,game,0.1
6,,2026-08-26,152,4,854,1441,godot,0,,8,2024-04-24,4.7.2,2022-09-15,4.0-beta1,akien-mga/dynadungeons,lag_observations,True,game,0.1
5,,2026-08-26,164,4,1614,1274,godot,0,,7,2022-03-26,4.7.2,2023-03-01,4.0-stable,AnJ95/godot-toolbox-project,lag_observations,True,addon,0.1
5,,2026-08-26,164,4,1614,1441,godot,0,,8,2022-03-26,4.7.2,2022-09-15,4.0-beta1,AnJ95/godot-toolbox-project,lag_observations,True,addon,0.1
3,,2026-08-26,170,4,1488,1274,godot,0,,7,2022-07-30,4.7.2,2023-03-01,4.0-stable,nezvers/Godot_Public_Examples,lag_observations,True,demo,0.1
3,,2026-08-26,170,4,1488,1441,godot,0,,8,2022-07-30,4.7.2,2022-09-15,4.0-beta1,nezvers/Godot_Public_Examples,lag_observations,True,demo,0.1
5,,2026-08-26,38,4,1835,1274,godot,0,,7,2021-08-17,4.7.2,2023-03-01,4.0-stable,binogure-studio/chart-gd,lag_observations,True,addon,0.1
5,,2026-08-26,38,4,1835,1441,godot,0,,8,2021-08-17,4.7.2,2022-09-15,4.0-beta1,binogure-studio/chart-gd,lag_observations,True,addon,0.1
3,,2026-08-26,21,4,2005,1274,godot,0,,7,2021-02-28,4.7.2,2023-03-01,4.0-stable,redhoot-dev/Godot-Open-World-Demo,lag_observations,True,demo,0.1
3,,2026-08-26,21,4,2005,1441,godot,0,,8,2021-02-28,4.7.2,2022-09-15,4.0-beta1,redhoot-dev/Godot-Open-World-Demo,lag_observations,True,demo,0.1
2,,2026-08-26,8,4,724,1274,godot,0,,7,2024-09-01,4.7.2,2023-03-01,4.0-stable,teebarjunk/godot-text_effects,lag_observations,True,addon,0.1
2,,2026-08-26,8,4,724,1441,godot,0,,8,2024-09-01,4.7.2,2022-09-15,4.0-beta1,teebarjunk/godot-text_effects,lag_observations,True,addon,0.1
7,,2026-08-26,371,4,62,1274,godot,0,,7,2026-06-25,4.7.2,2023-03-01,4.0-stable,HarmonyHoney/tiny_crate,lag_observations,True,game,0.1
7,,2026-08-26,371,4,62,1441,godot,0,,8,2026-06-25,4.7.2,2022-09-15,4.0-beta1,HarmonyHoney/tiny_crate,lag_observations,True,game,0.1
12,,2026-08-26,253,4,28,1274,godot,0,,7,2026-07-29,4.7.2,2023-03-01,4.0-stable,noidexe/godot-version-manager,lag_observations,True,unknown,0.1
12,,2026-08-26,253,4,28,1441,godot,0,,8,2026-07-29,4.7.2,2022-09-15,4.0-beta1,noidexe/godot-version-manager,lag_observations,True,unknown,0.1
8,,2026-08-26,54,4,1714,1274,godot,0,,7,2021-12-16,4.7.2,2023-03-01,4.0-stable,cgisca/PGSGP,lag_observations,True,addon,0.1
8,,2026-08-26,54,4,1714,1441,godot,0,,8,2021-12-16,4.7.2,2022-09-15,4.0-beta1,cgisca/PGSGP,lag_observations,True,addon,0.1
3,,2026-08-26,61,4,2686,1274,godot,0,,7,2019-04-19,4.7.2,2023-03-01,4.0-stable,romlok/godot-gdhexgrid,lag_observations,True,addon,0.1
3,,2026-08-26,61,4,2686,1441,godot,0,,8,2019-04-19,4.7.2,2022-09-15,4.0-beta1,romlok/godot-gdhexgrid,lag_observations,True,addon,0.1
13,,2026-08-26,390,4,530,1274,godot,0,,7,2025-03-14,4.7.2,2023-03-01,4.0-stable,acedogblast/Project-Uranium-Godot,lag_observations,True,game,0.1
13,,2026-08-26,390,4,530,1441,godot,0,,8,2025-03-14,4.7.2,2022-09-15,4.0-beta1,acedogblast/Project-Uranium-Godot,lag_observations,True,game,0.1
6,,2026-08-26,530,4,1169,1274,godot,0,,7,2023-06-14,4.7.2,2023-03-01,4.0-stable,Alzter/TuxBuilder,lag_observations,True,game,0.1
6,,2026-08-26,530,4,1169,1441,godot,0,,8,2023-06-14,4.7.2,2022-09-15,4.0-beta1,Alzter/TuxBuilder,lag_observations,True,game,0.1
6,,2026-08-26,231,4,737,1274,godot,0,,7,2024-08-19,4.7.2,2023-03-01,4.0-stable,ikbencasdoei/godot-voip,lag_observations,True,addon,0.1
6,,2026-08-26,231,4,737,1441,godot,0,,8,2024-08-19,4.7.2,2022-09-15,4.0-beta1,ikbencasdoei/godot-voip,lag_observations,True,addon,0.1
2,,2026-08-26,32,4,1946,1274,godot,0,,7,2021-04-28,4.7.2,2023-03-01,4.0-stable,samuelbigos/godot_2d_global_illumination,lag_observations,True,unknown,0.1
2,,2026-08-26,32,4,1946,1441,godot,0,,8,2021-04-28,4.7.2,2022-09-15,4.0-beta1,samuelbigos/godot_2d_global_illumination,lag_observations,True,unknown,0.1
3,,2026-08-26,111,4,741,1274,godot,0,,7,2024-08-15,4.7.2,2023-03-01,4.0-stable,Kehom/GodotAddonPack,lag_observations,True,addon,0.1
3,,2026-08-26,111,4,741,1441,godot,0,,8,2024-08-15,4.7.2,2022-09-15,4.0-beta1,Kehom/GodotAddonPack,lag_observations,True,addon,0.1
20,,2026-08-26,1009,4,72,1274,godot,0,,7,2026-06-15,4.7.2,2023-03-01,4.0-stable,Rhythia/sound-space-plus,lag_observations,True,game,0.1
